,fullAddress,addressID
2639,81  WATSON ROAD ,6597634327802366206
2656,"TAPTON LODGE MEWS, 28 FLAT 4 TAPTON HOUSE ROAD ",7946730763118680319
2684,40  NORTHFIELD COURT ,6848357739398572625
2693,67  EVELYN ROAD ,2247562616998654605
2704,27  NETHERFIELD ROAD ,795199135199745102
4678,260  WESTERN ROAD ,6292872230007235142
4692,75  SALISBURY ROAD ,1061382036729413165
4696,13  WARWICK TERRACE ,5237594354498001949
4699,8  CAMPSALL DRIVE ,8400237094979614814
6672,53  SACKVILLE ROAD ,4855955651941895624
6691,2  DALEBROOK MEWS ,5536253964576457511
7007,124  RINGSTEAD CRESCENT ,4906597979179547772
7016,4  BRICK STREET ,3696497698632036739
8979,39  BUTE STREET ,5271910337349993063
8983,19  WORCESTER ROAD ,5169196041224967245
8993,160  CROSS LANE ,6503081018257345406
9028,68  LONGFIELD ROAD ,7838631224140379401
11021,48  LEAMINGTON STREET ,4474497643579392814
11036,41  MARR TERRACE ,8110564852958289739
11046,17  RAMSEY ROAD ,812264129044474942
11050,12  WORCESTER DRIVE ,1785615482268172508
12989,9  CLEMENTSON ROAD ,1351944822604550001
13003,64  THE GLEN ,5281201039121322598
13015,48  NETHERFIELD ROAD ,9037707316876608350
13340,35  NORTHFIELD ROAD ,3409888900130052639
13363,14  CHANDOS STREET ,7205850326615726432
13365,4  BALLARD HALL CHASE ,5655669799646040204
15022,69  TOM LANE ,3239556538051370154
15149,31  TRUSWELL AVENUE ,7736734582445683901
16401,25  BLACKBROOK AVENUE ,8596809996172031204
16422,8  TOFTWOOD ROAD ,8668623101724683998
20245,TOWER VIEW 4 SALE HILL ,1661643006659577161
20247,ORIEL MOUNT 14 ORIEL ROAD ,2746936385633016903
27354,19  SPRING HOUSE ROAD ,3817696279622515447
27388,37  PICKMERE ROAD ,7042701468873291065
27409,66  TOM LANE ,5603711501741512337
27723,"WHEATA HOUSE, 3 APARTMENT 13 ELM GARDENS ",7075744089554406215
27727,5  SLINN STREET ,659853938084769074
27732,46  DUNCAN ROAD ,5622931915732604275
29375,541  FULWOOD ROAD ,7314316554809901342
29401,33  CLEMENTSON ROAD ,1070472503854294541
31453,86  WESTBOURNE ROAD ,2028754839772225905
31458,70  TASKER ROAD ,8890729083463881669
33396,178  HEAVYGATE ROAD ,8883499331372738182
33417,6  PETERBOROUGH CLOSE ,2264921492253034688
33440,7  TINKER LANE ,8354207706286534400
33467,111  TAPTON HILL ROAD ,4057438587825907951
33477,6  STONEWOOD GROVE ,3119823490204826316
33779,56  ENDCLIFFE HALL AVENUE ,4577738897790034049
35404,37  FORRES AVENUE ,6701520661694763333
35428,71  MULEHOUSE ROAD ,9124071303433952370
35434,RANMOOR GRANGE FLAT 14 RANMOOR PARK ROAD ,5528038955249234200
35454,"LAUREL HOUSE, 96B APARTMENT 5 TAPTON CRESCENT ROAD ",3973434433284166135
35787,18  BLAKENEY ROAD ,5347594816534262515
37425,43  RYEGATE ROAD ,2949278868847434035
37426,HALLAM COURT 5 CLARKE DRIVE ,5070594630688305064
37776,26  SALISBURY ROAD ,340956931660472197
37793,75  FORRES ROAD ,8124248318701937423
39771,52  BELGRAVE ROAD ,4104935755522745554
39802,39  FORRES AVENUE ,8374211077226582282
41484,90  BROOMGROVE ROAD ,5336813041346780071
41503,"GRAINGER COURT, 235 FLAT 15 GRAHAM ROAD ",7219534806739516974
41506,"THE WILLOWS, 96C APARTMENT 2 TAPTON CRESCENT ROAD ",9005037406985062972
44804,89  RINGSTEAD CRESCENT ,8288391931038884490
44852,107  DUNCAN ROAD ,6297507006526531112
46196,101  WESTERN ROAD ,7445537084050768516
46217,8  TRUSWELL ROAD ,77796543755746166
46219,35  SLAYLEIGH AVENUE ,2343597012065623211
46230,70  BROOKLANDS CRESCENT ,4445642440595076909
46233,149  WESTERN ROAD ,2773196697408762791
46237,"LOWE HOUSE, 1  RANMOOR CRESCENT ",4444764833885827518
46238,410  HEAVYGATE ROAD ,8291753508497232948
46247,76  HALLAMSHIRE ROAD ,6807552288895939987
46248,32  BARNCLIFFE ROAD ,1354192003530637779
47363,22  WINCHESTER ROAD ,2620894228459272728
47482,49  ST ALBANS ROAD ,5456675809974324471
47534,23  STUMPERLOWE CRESCENT ROAD ,3430304465676190769
47537,35  RANMOOR ROAD ,3052817699942430238
48371,2B  PARK AVENUE ,1290381055612659367
48512,STUMPERLOWE MANSIONS 33 STUMPERLOWE LANE ,3352698111585087576
48581,7  TOFTWOOD ROAD ,7001647338208566770
49574,8  STUMPERLOWE HALL ROAD ,4639123165820256461
50545,46  CROOKES ROAD ,196417041290650317
50552,92  TOWNEND STREET ,4646182933214419564
50736,73  PICKMERE ROAD ,3565691738394713571
51718,47  MARLBOROUGH ROAD ,4998622241345503560
51724,60  FORRES ROAD ,5767853515698078452
51752,26  MOORSYDE AVENUE ,7007956307752762083
51779,24  CLARKEHOUSE ROAD ,7119641614381478236
66684,111  BARNCLIFFE CRESCENT ,8825556310086579975
66686,154A  SANDYGATE ROAD ,6451596422569209080
66722,153  CRIMICAR LANE ,8592650304978294026
66729,2  ST ALBANS ROAD ,5853321942403584963
66978,"GRAHAM KNOLL, 203 FLAT 11 GRAHAM ROAD ",675505947161421219
67006,46  MOORBANK ROAD ,7042732857746820527
67302,18  ENDCLIFFE VALE ROAD ,8881270884222289416
67304,76  HALLAM GRANGE ROAD ,7495299424166423282
67306,"TAPTON LODGE MEWS, 28 FLAT 3 TAPTON HOUSE ROAD ",2063663635239334974
67831,25  BARNCLIFFE ROAD ,2184782868891154372
68143,80  CRIMICAR LANE ,3290989975096580200
68155,112  RINGSTEAD CRESCENT ,2067069138540242138
68156,9  CAIRNS ROAD ,6692054048860608422
68238,12  FORRES ROAD ,5075141191917963803
68240,26  MOORCROFT DRIVE ,2552277423423521532
68250,7  HALLAM GRANGE CLOSE ,5556468366573419784
68262,55  SLINN STREET ,4888770996076841032
68500,48  BROOMGROVE ROAD ,2350330758821628534
68816,134  BRADLEY STREET ,8105784916151531831
69331,15  SPRING HOUSE ROAD ,4128439492591401182
69768,48  ST FRANCIS CLOSE ,3428432952919989418
69874,142  CROSS LANE ,7620984653559175731
70588,47  BARNCLIFFE ROAD ,3245677697497948238
70590,20  VICTORIA ROAD ,918170726985604572
70602,30  BLACKBROOK DRIVE ,8439240735741911370
70603,376  SPRINGVALE ROAD ,7999707604231966032
70918,106  WATT LANE ,231398498732461120
71316,33  SANDYGATE PARK ,1405682450295380075
71779,"OAKBROOK COURT, 411 FLAT 7 FULWOOD ROAD ",5681262511636678893
72163,22A  CARSICK VIEW ROAD ,3806616433042223862
72505,305  SPRINGVALE ROAD ,6417115160446765377
72581,25  TRUSWELL AVENUE ,8406466491345556307
118450,ORIEL MOUNT 7 ORIEL ROAD ,6501566073554088909
118453,16  WORCESTER DRIVE ,7593171966767442659
122233,85  EVELYN ROAD ,3502572369415637765
122236,FULLWOOD HOUSE THE TOWER BLOCK OLD FULWOOD ROAD ,6638855194070134259
124181,171  MULEHOUSE ROAD ,760071705429507735
125650,9  BARNCLIFFE GLEN ,1486704856740014331
134377,OAKBROOK COURT 12 GRAHAM ROAD ,68457445520735816
134378,182 FLAT 1 SCHOOL ROAD ,8318748526454536792
134590,ORIEL MOUNT 10 ORIEL ROAD ,3751759107303443948
134990,2  CHAPEL TERRACE ,1039538278846631338
